,Game,Trial,Datetime,Tweet Id,Text,Username,URL
0,425,1,2022-08-18 23:47:19+00:00,1560413062716342279,"Wordle 425 1/6

🟩🟩🟩🟩🟩

Omg I’m a genius",hananino0na,https://twitter.com/hananino0na/status/1560413062716342279
1,425,1,2022-08-18 23:14:20+00:00,1560404762012663808,"@susankey_key I can cheat better than you!!

Wordle 425 1/6

🟩🟩🟩🟩🟩",Jrj519Johnson,https://twitter.com/Jrj519Johnson/status/1560404762012663808
2,425,1,2022-08-18 22:04:45+00:00,1560387250772447233,"Wordle 425 1/6

🟩🟩🟩🟩🟩",wesths05,https://twitter.com/wesths05/status/1560387250772447233
3,425,1,2022-08-18 22:00:09+00:00,1560386090405593089,"Evening tally: Less than 1% of players are not able to solve today's Wordle. 43.1% of players are solving it on their fourth try.

Wordle 425
1/6: 70 
2/6: 714 
3/6: 5742 
4/6: 10577 *
5/6: 5769 
6/6: 1497 
X/6: 158",wordleGlobalDNF,https://twitter.com/wordleGlobalDNF/status/1560386090405593089
4,425,1,2022-08-18 20:27:22+00:00,1560362742334345217,"Wordle 425 1/6

🟩🟩🟩🟩🟩",nats148,https://twitter.com/nats148/status/1560362742334345217
5,425,1,2022-08-18 20:22:23+00:00,1560361489608986627,"Wordle 425 1/6

🟩🟩🟩🟩🟩 how sweet is that????",hlfox17,https://twitter.com/hlfox17/status/1560361489608986627
6,425,1,2022-08-18 19:40:39+00:00,1560350984429248513,"Wordle 425 1/6

🟩🟩🟩🟩🟩",jacquistephens5,https://twitter.com/jacquistephens5/status/1560350984429248513
7,425,1,2022-08-18 18:22:15+00:00,1560331255836987392,"Wordle 425 1/6

🟩🟩🟩🟩🟩",RamaparvathyU,https://twitter.com/RamaparvathyU/status/1560331255836987392
8,425,1,2022-08-18 17:39:12+00:00,1560320419458072588,"Wordle 425 1/6

🟩🟩🟩🟩🟩",KookyPuff23,https://twitter.com/KookyPuff23/status/1560320419458072588
9,425,1,2022-08-18 17:00:09+00:00,1560310596209442819,"Afternoon update: Less than 1% of players are not able to solve today's Wordle. 43.2% of players are solving it on their fourth try.

Wordle 425
1/6: 61 
2/6: 625 
3/6: 5042 
4/6: 9301 *
5/6: 5045 
6/6: 1299 
X/6: 136",wordleGlobalDNF,https://twitter.com/wordleGlobalDNF/status/1560310596209442819
10,425,1,2022-08-18 16:58:33+00:00,1560310190381346817,"Wordle 425 1/6*

🟩🟩🟩🟩🟩",PMT2387,https://twitter.com/PMT2387/status/1560310190381346817
11,425,1,2022-08-18 16:31:29+00:00,1560303381708693511,"@Da_Beas_Knees Thanks for the hint 🤠

Wordle 425 1/6

🟩🟩🟩🟩🟩",lg_pustmueller,https://twitter.com/lg_pustmueller/status/1560303381708693511
12,425,1,2022-08-18 16:30:29+00:00,1560303129672957952,"i somehow was able to do it again lol 

Wordle 425 1/6

🟩🟩🟩🟩🟩",sharebear817,https://twitter.com/sharebear817/status/1560303129672957952
13,425,1,2022-08-18 16:29:46+00:00,1560302947698974720,"Wordle 425 1/6

🟩🟩🟩🟩🟩

THIS HAS BEEN MY STARTER WORD EVERY DAY SINCE I STARTED PLAYING, MY TIME HAS FINALLY COME",YupItsCaitlin,https://twitter.com/YupItsCaitlin/status/1560302947698974720
14,425,1,2022-08-18 16:03:24+00:00,1560296310586105857,"Wordle 425 1/6

🟩🟩🟩🟩🟩",belieber_7892,https://twitter.com/belieber_7892/status/1560296310586105857
15,425,1,2022-08-18 15:53:29+00:00,1560293817734942720,"@the_twang Thanks 😀 Wordle 425 1/6

🟩🟩🟩🟩🟩",fevermiller,https://twitter.com/fevermiller/status/1560293817734942720
16,425,1,2022-08-18 15:27:09+00:00,1560287191586185220,"Wordle 425 1/6

🟩🟩🟩🟩🟩",ahmedmos22,https://twitter.com/ahmedmos22/status/1560287191586185220
17,425,1,2022-08-18 15:12:45+00:00,1560283566361157632,"@nytimes Wordle 425 1/6

🟩🟩🟩🟩🟩",Zzzwithheather,https://twitter.com/Zzzwithheather/status/1560283566361157632
18,425,1,2022-08-18 15:09:14+00:00,1560282681274875909,"Wordle 425 1/6

🟩🟩🟩🟩🟩

OMG! I’ve never done this before!!! 😭",idunnoaskjoe,https://twitter.com/idunnoaskjoe/status/1560282681274875909
19,425,1,2022-08-18 14:57:21+00:00,1560279689155198977,"Wordle 425 1/6

🟩🟩🟩🟩🟩",MaganVivien,https://twitter.com/MaganVivien/status/1560279689155198977
